teams,qualify,first_stage,semi,finals,,
Colombia,16,5,0,0,,"insert into team_stat values ('Colombia',16,5,0,0);"
Portugal,20,6,2,0,,"insert into team_stat values ('Portugal',20,6,2,0);"
Egypt,14,2,0,0,,"insert into team_stat values ('Egypt',14,2,0,0);"
Japan,14,5,0,0,,"insert into team_stat values ('Japan',14,5,0,0);"
Belgium,19,12,1,0,,"insert into team_stat values ('Belgium',19,12,1,0);"
Russia,15,10,1,0,,"insert into team_stat values ('Russia',15,10,1,0);"
Serbia,19,11,2,0,,"insert into team_stat values ('Serbia',19,11,2,0);"
Senegal,12,1,0,0,,"insert into team_stat values ('Senegal',12,1,0,0);"
Sweden,19,11,4,1,,"insert into team_stat values ('Sweden',19,11,4,1);"
Brazil,12,20,11,7,,"insert into team_stat values ('Brazil',12,20,11,7);"
Argentina,13,16,5,5,,"insert into team_stat values ('Argentina',13,16,5,5);"
Panama,11,0,0,0,,"insert into team_stat values ('Panama',11,0,0,0);"
Nigeria,13,5,0,0,,"insert into team_stat values ('Nigeria',13,5,0,0);"
Poland,17,7,2,0,,"insert into team_stat values ('Poland',17,7,2,0);"
IR Iran,10,4,0,0,,"insert into team_stat values ('IR Iran',10,4,0,0);"
Tunisia,14,4,0,0,,"insert into team_stat values ('Tunisia',14,4,0,0);"
Costa Rica,16,4,0,0,,"insert into team_stat values ('Costa Rica',16,4,0,0);"
Korea Republic,14,9,1,0,,"insert into team_stat values ('Korea Republic',14,9,1,0);"
Iceland,13,0,0,0,,"insert into team_stat values ('Iceland',13,0,0,0);"
Denmark,15,4,0,0,,"insert into team_stat values ('Denmark',15,4,0,0);"
Morocco,14,4,0,0,,"insert into team_stat values ('Morocco',14,4,0,0);"
Germany,14,18,13,8,,"insert into team_stat values ('Germany',14,18,13,8);"
Switzerland,19,10,0,0,,"insert into team_stat values ('Switzerland',19,10,0,0);"
Peru,17,4,0,0,,"insert into team_stat values ('Peru',17,4,0,0);"
Spain,18,14,2,1,,"insert into team_stat values ('Spain',18,14,2,1);"
Saudi Arabia,11,4,0,0,,"insert into team_stat values ('Saudi Arabia',11,4,0,0);"
Australia,14,4,0,0,,"insert into team_stat values ('Australia',14,4,0,0);"
Mexico,15,15,0,0,,"insert into team_stat values ('Mexico',15,15,0,0);"
England,16,14,2,1,,"insert into team_stat values ('England',16,14,2,1);"
Croatia,6,4,1,0,,"insert into team_stat values ('Croatia',6,4,1,0);"
France,17,14,5,2,,"insert into team_stat values ('France',17,14,5,2);"
Uruguay,16,12,5,2,,"insert into team_stat values ('Uruguay',16,12,5,2);"
