MatchID_yellow,Team_yellow,Jersey_yellow,,,
50,France,2,,,"insert into yellowcard values ('France',2,50);"
50,France,9,,,"insert into yellowcard values ('France',9,50);"
50,France,14,,,"insert into yellowcard values ('France',14,50);"
50,Argentina,3,,,"insert into yellowcard values ('Argentina',3,50);"
50,Argentina,7,,,"insert into yellowcard values ('Argentina',7,50);"
50,Argentina,14,,,"insert into yellowcard values ('Argentina',14,50);"
50,Argentina,16,,,"insert into yellowcard values ('Argentina',16,50);"
50,Argentina,17,,,"insert into yellowcard values ('Argentina',17,50);"
49,Portugal,7,,,"insert into yellowcard values ('Portugal',7,49);"
51,Spain,3,,,"insert into yellowcard values ('Spain',3,51);"
51,Russia,3,,,"insert into yellowcard values ('Russia',3,51);"
51,Russia,11,,,"insert into yellowcard values ('Russia',11,51);"
52,Denmark,13,,,"insert into yellowcard values ('Denmark',13,52);"
53,Brazil,5,,,"insert into yellowcard values ('Brazil',5,53);"
53,Brazil,6,,,"insert into yellowcard values ('Brazil',6,53);"
53,Mexico,3,,,"insert into yellowcard values ('Mexico',3,53);"
53,Mexico,16,,,"insert into yellowcard values ('Mexico',16,53);"
53,Mexico,18,,,"insert into yellowcard values ('Mexico',18,53);"
53,Mexico,21,,,"insert into yellowcard values ('Mexico',21,53);"
54,Japan,7,,,"insert into yellowcard values ('Japan',7,54);"
55,Sweden,2,,,"insert into yellowcard values ('Sweden',2,55);"
55,Switzerland,10,,,"insert into yellowcard values ('Switzerland',10,55);"
55,Switzerland,11,,,"insert into yellowcard values ('Switzerland',11,55);"
56,Colombia,4,,,"insert into yellowcard values ('Colombia',4,56);"
56,Colombia,5,,,"insert into yellowcard values ('Colombia',5,56);"
56,Colombia,6,,,"insert into yellowcard values ('Colombia',6,56);"
56,Colombia,9,,,"insert into yellowcard values ('Colombia',9,56);"
56,Colombia,11,,,"insert into yellowcard values ('Colombia',11,56);"
56,Colombia,7,,,"insert into yellowcard values ('Colombia',7,56);"
56,England,7,,,"insert into yellowcard values ('England',7,56);"
56,England,8,,,"insert into yellowcard values ('England',8,56);"
57,Uruguay,6,,,"insert into yellowcard values ('Uruguay',6,57);"
57,Uruguay,7,,,"insert into yellowcard values ('Uruguay',7,57);"
57,France,10,,,"insert into yellowcard values ('France',10,57);"
57,France,21,,,"insert into yellowcard values ('France',21,57);"
58,Brazil,17,,,"insert into yellowcard values ('Brazil',17,58);"
58,Brazil,22,,,"insert into yellowcard values ('Brazil',22,58);"
58,Belgium,15,,,"insert into yellowcard values ('Belgium',15,58);"
60,Sweden,7,,,"insert into yellowcard values ('Sweden',7,60);"
60,Sweden,11,,,"insert into yellowcard values ('Sweden',11,60);"
60,England,6,,,"insert into yellowcard values ('England',6,60);"
59,Croatia,3,,,"insert into yellowcard values ('Croatia',3,59);"
59,Croatia,6,,,"insert into yellowcard values ('Croatia',6,59);"
61,France,10,,,"insert into yellowcard values ('France',10,61);"
61,France,13,,,"insert into yellowcard values ('France',13,61);"
61,Belgium,2,,,"insert into yellowcard values ('Belgium',2,61);"
61,Belgium,5,,,"insert into yellowcard values ('Belgium',5,61);"
61,Belgium,10,,,"insert into yellowcard values ('Belgium',10,61);"
62,Croatia,17,,,"insert into yellowcard values ('Croatia',17,62);"
62,Croatia,18,,,"insert into yellowcard values ('Croatia',18,62);"
62,England,2,,,"insert into yellowcard values ('England',2,62);"
63,Belgium,6,,,"insert into yellowcard values ('Belgium',6,63);"
63,England,5,,,"insert into yellowcard values ('England',5,63);"
63,England,6,,,"insert into yellowcard values ('England',6,63);"
64,France,13,,,"insert into yellowcard values ('France',13,64);"
64,France,21,,,"insert into yellowcard values ('France',21,64);"
64,Croatia,2,,,"insert into yellowcard values ('Croatia',2,64);"
